date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:22	29404/29404	---M--	200	added ('OK')	image/jpeg	etag:%221d9c1f9-72dc-5a4cec82a8000%22	http://gulfhealthrecruit.com/img/logo.jpeg	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/logo.jpg	(from http://gulfhealthrecruit.com/)
13:46:59	243466/243466	---M--	200	added ('OK')	image/jpeg	etag:%221d9c1ec-3b70a-5a4bba95f7bc0%22	http://gulfhealthrecruit.com/img/intro-banner-1.jpeg	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/intro-banner-1.jpg	(from http://gulfhealthrecruit.com/)
13:47:00	40907/40907	---M--	200	added ('OK')	text/html	etag:%221d9c1e6-9fcb-5a5da1ddc8c80%22	http://gulfhealthrecruit.com/recruitment.html	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/recruitment.html	(from http://gulfhealthrecruit.com/)
13:47:02	4058/4058	---M--	200	added ('OK')	image/png	etag:%221d9c207-fda-5a4e3a4fb0900%22	http://gulfhealthrecruit.com/img/no-image-icon.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/no-image-icon.png	(from http://gulfhealthrecruit.com/)
13:47:04	5282/5282	---M--	200	added ('OK')	image/png	etag:%221d9c1f3-14a2-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-1.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-1.png	(from http://gulfhealthrecruit.com/)
13:47:06	4582/4582	---M--	200	added ('OK')	image/png	etag:%221d9c1f1-11e6-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-2.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-2.png	(from http://gulfhealthrecruit.com/)
13:47:07	4707/4707	---M--	200	added ('OK')	image/png	etag:%221d9c1f4-1263-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-3.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-3.png	(from http://gulfhealthrecruit.com/)
13:47:10	9010/9010	---M--	200	added ('OK')	image/png	etag:%221d9c1f2-2332-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-4.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-4.png	(from http://gulfhealthrecruit.com/)
13:47:11	5123/5123	---M--	200	added ('OK')	image/png	etag:%221d9c1f6-1403-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-5.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-5.png	(from http://gulfhealthrecruit.com/)
13:47:13	3450/3450	---M--	200	added ('OK')	image/png	etag:%221d9c1f7-d7a-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-6.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-6.png	(from http://gulfhealthrecruit.com/)
13:47:16	5616/5616	---M--	200	added ('OK')	image/png	etag:%221d9c1f5-15f0-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-7.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-7.png	(from http://gulfhealthrecruit.com/)
13:47:17	4587/4587	---M--	200	added ('OK')	image/png	etag:%221d9c1f0-11eb-585880d230a80%22	http://gulfhealthrecruit.com/img/clients/client-8.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/clients/client-8.png	(from http://gulfhealthrecruit.com/)
13:47:27	391909/391909	---M--	200	added ('OK')	image/jpeg	etag:%221d9c1fe-5fae5-5a4d57d8dfd40%22	http://gulfhealthrecruit.com/img/why-ghr-img.jpg	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/why-ghr-img.jpg	(from http://gulfhealthrecruit.com/)
13:47:31	7083/7083	---M--	200	added ('OK')	application/javascript	etag:%221d9c213-1bab-585880d230a80%22	http://gulfhealthrecruit.com/lib/jquery/jquery-migrate.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/jquery/jquery-migrate.min.js	(from http://gulfhealthrecruit.com/)
13:47:33	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%221d9c212-1538f-585880d230a80%22	http://gulfhealthrecruit.com/lib/jquery/jquery.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/jquery/jquery.min.js	(from http://gulfhealthrecruit.com/)
13:47:34	2303/2303	---M--	200	added ('OK')	application/javascript	etag:%221d9c224-8ff-585880d230a80%22	http://gulfhealthrecruit.com/lib/easing/easing.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/easing/easing.min.js	(from http://gulfhealthrecruit.com/)
13:47:36	1413/1413	---M--	200	added ('OK')	application/javascript	etag:%221d9c25a-585-585880d230a80%22	http://gulfhealthrecruit.com/lib/mobile-nav/mobile-nav.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/mobile-nav/mobile-nav.js	(from http://gulfhealthrecruit.com/)
13:47:38	8159/8159	---M--	200	added ('OK')	application/javascript	etag:%221d9c216-1fdf-585880d230a80%22	http://gulfhealthrecruit.com/lib/wow/wow.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/wow/wow.min.js	(from http://gulfhealthrecruit.com/)
13:47:41	9028/9028	---M--	200	added ('OK')	application/javascript	etag:%221d9c221-2344-585880d230a80%22	http://gulfhealthrecruit.com/lib/waypoints/waypoints.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/waypoints/waypoints.min.js	(from http://gulfhealthrecruit.com/)
13:47:45	78635/78635	---M--	200	added ('OK')	application/javascript	etag:%221d9c258-1332b-585880d230a80%22	http://gulfhealthrecruit.com/lib/bootstrap/js/bootstrap.bundle.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/bootstrap/js/bootstrap.bundle.min.js	(from http://gulfhealthrecruit.com/)
13:47:49	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%221d9c236-ad36-585880d230a80%22	http://gulfhealthrecruit.com/lib/owlcarousel/owl.carousel.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/owlcarousel/owl.carousel.min.js	(from http://gulfhealthrecruit.com/)
13:47:52	9418/9418	---M--	200	added ('OK')	application/javascript	etag:%221d9c22c-24ca-585880d230a80%22	http://gulfhealthrecruit.com/lib/lightbox/js/lightbox.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/lightbox/js/lightbox.min.js	(from http://gulfhealthrecruit.com/)
13:47:53	35503/35503	---M--	200	added ('OK')	application/javascript	etag:%221d9c244-8aaf-585880d230a80%22	http://gulfhealthrecruit.com/lib/isotope/isotope.pkgd.min.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/isotope/isotope.pkgd.min.js	(from http://gulfhealthrecruit.com/)
13:47:55	3723/3723	---M--	200	added ('OK')	application/javascript	etag:%221d9c1e5-e8b-5a4c0f1070b00%22	http://gulfhealthrecruit.com/js/main.js	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/js/main.js	(from http://gulfhealthrecruit.com/)
13:48:25	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d9c24d-2876e-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:48:25	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d9c24d-2876e-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.eot?	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:48:38	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%221d9c24f-12d68-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:48:43	98024/98024	---M--	200	added ('OK')	font/woff	etag:%221d9c251-17ee8-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:48:49	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%221d9c250-6c7db-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:49:11	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%221d9c24e-286ac-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css)
13:49:11	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d9c21d-1d794-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/fonts/ionicons.eot?v=2.0.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/ionicons/fonts/ionicons28b5.eot	(from http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css)
13:49:24	67904/67904	---M--	200	added ('OK')	font/woff	etag:%221d9c21f-10940-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/fonts/ionicons.woff?v=2.0.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/ionicons/fonts/ionicons28b5.woff	(from http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css)
13:49:30	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%221d9c21c-5180a-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/fonts/ionicons.svg?v=2.0.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/ionicons/fonts/ionicons28b5.svg	(from http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css)
13:49:37	4976/4976	---M--	200	added ('OK')	image/png	etag:%221d9c23d-1370-585880d230a80%22	http://gulfhealthrecruit.com/lib/owlcarousel/assets/owl.video.play.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/owlcarousel/assets/owl.video.play.png	(from http://gulfhealthrecruit.com/lib/owlcarousel/assets/owl.carousel.min.css)
13:49:40	8476/8476	---M--	200	added ('OK')	image/gif	etag:%221d9c230-211c-585880d230a80%22	http://gulfhealthrecruit.com/lib/lightbox/images/loading.gif	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/lightbox/images/loading.gif	(from http://gulfhealthrecruit.com/lib/lightbox/css/lightbox.min.css)
13:49:45	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%221d9c21e-2e05c-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/fonts/ionicons.ttf?v=2.0.0	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/ionicons/fonts/ionicons28b5.ttf	(from http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css)
13:52:25	3198890/3198890	---M--	200	added ('OK')	image/png	etag:%221d9c20c-30cfaa-5a4bc04fc3e00%22	http://gulfhealthrecruit.com/img/intro-banner-2.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/intro-banner-2.png	(from http://gulfhealthrecruit.com/)
13:56:33	20982/20982	---M--	200	added ('OK')	text/html	etag:%221d9c1e3-51f6-5a4e3de42bb40%22	http://gulfhealthrecruit.com/index.html	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/index-2.html	(from http://gulfhealthrecruit.com/recruitment.html)
13:56:35	13894/13894	---M--	200	added ('OK')	text/html	etag:%221d9c20f-3646-5a5da0bbde080%22	http://gulfhealthrecruit.com/job-profile.html	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/job-profile.html	(from http://gulfhealthrecruit.com/recruitment.html)
13:56:58	266679/266679	---M--	200	added ('OK')	image/png	etag:%221d9c1eb-411b7-5a4d26d83e0c0%22	http://gulfhealthrecruit.com/img/recruitment-inner-img.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/recruitment-inner-img.png	(from http://gulfhealthrecruit.com/recruitment.html)
